origin.evid,origin.lat,origin.lon,origin.depth,origin.ml,origin.time,origin.jdate,fplane.str1,fplane.dip1,fplane.rake1
563331,60.0889,-153.3835,158.8422,4.21,1483539324.46809,2017004,168.0,60.0,0.0
563587,59.5990,-153.3290,114.7493,3.71,1483781861.27978,2017007,301.0,46.0,136.0
565353,61.6840,-151.6185,93.7563,3.61,1485263257.00805,2017024,24.0,44.0,6.0
565668,62.0083,-152.3898,141.8529,4.53,1485440773.79044,2017026,49.0,24.0,35.0
565765,60.0680,-153.5561,168.0545,3.56,1485540376.33465,2017027,64.0,53.0,38.0
566051,61.8989,-152.0993,125.5583,3.51,1485825177.05693,2017031,334.0,35.0,138.0
566071,63.0817,-150.9427,132.8707,5.20,1485855517.57590,2017031,301.0,35.0,148.0
566372,64.4917,-152.4140,19.9697,3.49,1486086086.37632,2017034,94.0,67.0,-165.0
566697,59.8418,-152.8696,100.7655,3.80,1486356318.26233,2017037,35.0,47.0,3.0
567336,59.2894,-153.6713,121.7570,4.00,1486863324.68093,2017043,276.0,58.0,-179.0
567465,62.5120,-142.7477,8.8645,5.33,1486970232.64192,2017044,137.0,85.0,-178.0
567765,57.4336,-156.9566,122.4703,3.95,1487230220.15235,2017047,289.0,55.0,155.0
568124,59.7313,-153.1387,102.9882,3.95,1487542650.37099,2017050,71.0,46.0,46.0
568247,62.4354,-139.1965,6.7141,3.80,1487607459.32566,2017051,253.0,65.0,-9.0
568252,65.2396,-149.9625,18.1385,3.59,1487613369.91052,2017051,49.0,47.0,92.0
568627,64.7053,-148.7181,29.2520,1.83,1487899766.46884,2017055,253.0,35.0,12.0
568980,61.5360,-141.0639,18.3308,3.88,1488325708.52217,2017059,254.0,55.0,63.0
569108,59.5785,-152.6546,77.9905,5.54,1488420690.68153,2017061,72.0,35.0,31.0
569144,59.5819,-152.6213,80.9482,3.59,1488465639.34171,2017061,89.0,32.0,14.0
569220,61.2585,-146.1262,24.0809,4.09,1488501691.22032,2017062,229.0,55.0,-59.0
569598,59.7606,-152.9781,109.1850,4.00,1488880208.17026,2017066,59.0,57.0,21.0
570541,57.0168,-154.1732,43.1997,4.37,1489650945.16011,2017075,156.0,81.0,-169.0
570635,61.9406,-149.2418,3.3105,3.70,1489736851.15991,2017076,130.0,74.0,19.0
571121,64.6902,-149.1935,19.0078,2.37,1490135067.75403,2017080,312.0,84.0,182.0
571241,57.8558,-156.1955,121.7205,3.78,1490206831.17387,2017081,182.0,12.0,-42.0
571518,57.2031,-157.4824,6.5704,4.46,1490399388.17123,2017083,58.0,12.0,51.0
571568,57.1706,-157.4299,5.7401,4.01,1490403638.38543,2017084,51.0,21.0,42.0
571635,59.2870,-153.2229,91.3230,3.51,1490457568.56980,2017084,314.0,47.0,148.0
571790,59.5555,-138.9578,20.4142,3.59,1490554054.41578,2017085,13.0,44.0,-162.0
572233,60.0955,-153.3241,150.9287,3.49,1490874332.01119,2017089,69.0,40.0,31.0
572609,59.8059,-152.9001,104.8933,3.56,1491212538.56261,2017093,63.0,57.0,32.0
573365,59.9458,-152.6681,87.6929,4.09,1491597513.83789,2017097,37.0,67.0,-6.0
573676,58.8883,-154.5353,121.6247,3.67,1491803752.23912,2017100,79.0,69.0,29.0
574819,61.5046,-145.8591,30.0154,3.85,1492516773.53392,2017108,168.0,53.0,-110.0
575795,62.2270,-149.3451,41.7480,4.11,1493177350.19813,2017116,247.0,25.0,-101.0
575808,59.2421,-153.5354,87.2616,3.46,1493187493.26226,2017116,80.0,67.0,36.0
575991,57.5333,-154.9440,10.9831,4.46,1493304270.46589,2017117,100.0,60.0,-181.0
576004,57.5285,-154.9600,10.8230,4.06,1493313032.38597,2017117,105.0,32.0,175.0
576223,63.1225,-151.1656,11.8962,5.17,1493464548.89802,2017119,313.0,25.0,10.0
576326,57.5221,-154.9369,9.8770,3.92,1493550236.86950,2017120,10.0,74.0,0.0
576478,59.8523,-136.6772,0.9984,6.24,1493641913.02475,2017121,178.0,54.0,131.0
576482,59.9046,-136.7838,4.5153,4.64,1493642957.47719,2017121,207.0,71.0,-170.0
576483,59.8439,-136.6653,1.5655,3.73,1493643398.11868,2017121,270.0,88.0,9.0
576511,59.7899,-136.7105,7.3657,6.19,1493648294.67167,2017121,283.0,88.0,0.0
576524,59.8219,-136.5952,9.8746,4.41,1493650749.40051,2017121,211.0,67.0,-181.0
576529,59.8333,-136.6946,6.5299,4.28,1493652106.79680,2017121,189.0,72.0,-179.0
